"module": executable file not found in $PATH
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 70423ms | tok/sec: 7,444 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854702 | lrm: 1.00 | dt: 317ms | tok/sec: 1,652,269 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442315 | lrm: 1.00 | dt: 319ms | tok/sec: 1,646,060 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971719 | lrm: 1.00 | dt: 341ms | tok/sec: 1,537,264 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578760 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,688 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248846 | lrm: 1.00 | dt: 318ms | tok/sec: 1,649,424 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998084 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,622 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787079 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,214 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.606994 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,782 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455153 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,707 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325382 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,127 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217079 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,764 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120709 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,664 | mfu: 38.1% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034846 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,906 | mfu: 38.5% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.962715 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,791 | mfu: 39.0% | epoch: 1 | remaining: 299s    
step 00033 (2.4%) | loss: 5.234029 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,322 | mfu: 38.6% | epoch: 1 | remaining: 292s    
step 00034 (2.5%) | loss: 5.202937 | lrm: 1.00 | dt: 330ms | tok/sec: 1,586,861 | mfu: 38.3% | epoch: 1 | remaining: 292s    
step 00035 (2.6%) | loss: 5.176964 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,015 | mfu: 38.8% | epoch: 1 | remaining: 292s    
step 00036 (2.7%) | loss: 5.150309 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,906 | mfu: 38.6% | epoch: 1 | remaining: 291s    
step 00037 (2.8%) | loss: 5.123448 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,565 | mfu: 38.9% | epoch: 1 | remaining: 291s    
step 00038 (3.0%) | loss: 5.096369 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,470 | mfu: 38.7% | epoch: 1 | remaining: 291s    
step 00039 (3.1%) | loss: 5.069698 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,623 | mfu: 38.6% | epoch: 1 | remaining: 290s    
step 00040 (3.2%) | loss: 5.040367 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,252 | mfu: 39.0% | epoch: 1 | remaining: 290s    
step 00041 (3.3%) | loss: 5.013293 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,222 | mfu: 38.8% | epoch: 1 | remaining: 290s    
step 00042 (3.4%) | loss: 4.987487 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,182 | mfu: 38.8% | epoch: 1 | remaining: 290s    
step 00043 (3.5%) | loss: 4.959676 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,086 | mfu: 38.8% | epoch: 1 | remaining: 289s    
step 00044 (3.6%) | loss: 4.931589 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,216 | mfu: 38.5% | epoch: 1 | remaining: 289s    
step 00045 (3.7%) | loss: 4.904087 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,005 | mfu: 38.7% | epoch: 1 | remaining: 289s    
step 00046 (3.8%) | loss: 4.876100 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,374 | mfu: 38.8% | epoch: 1 | remaining: 288s    
step 00047 (3.9%) | loss: 4.840931 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,289 | mfu: 38.8% | epoch: 1 | remaining: 288s    
step 00048 (4.0%) | loss: 4.820465 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,906 | mfu: 38.8% | epoch: 1 | remaining: 288s    
step 00049 (4.2%) | loss: 4.792422 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,819 | mfu: 38.7% | epoch: 1 | remaining: 287s    
step 00050 (4.3%) | loss: 4.765142 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,731 | mfu: 38.6% | epoch: 1 | remaining: 287s    
step 00051 (4.4%) | loss: 4.739428 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,296 | mfu: 38.4% | epoch: 1 | remaining: 287s    
step 00052 (4.5%) | loss: 4.711224 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,972 | mfu: 38.7% | epoch: 1 | remaining: 286s    
step 00053 (4.6%) | loss: 4.685031 | lrm: 1.00 | dt: 328ms | tok/sec: 1,600,332 | mfu: 38.7% | epoch: 1 | remaining: 286s    
step 00054 (4.7%) | loss: 4.658827 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,167 | mfu: 38.9% | epoch: 1 | remaining: 286s    
step 00055 (4.8%) | loss: 4.632024 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,501 | mfu: 38.5% | epoch: 1 | remaining: 285s    
step 00056 (4.9%) | loss: 4.609468 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,613 | mfu: 38.9% | epoch: 1 | remaining: 285s    
step 00057 (5.0%) | loss: 4.584971 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,393 | mfu: 38.9% | epoch: 1 | remaining: 285s    
step 00058 (5.1%) | loss: 4.554077 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,511 | mfu: 38.8% | epoch: 1 | remaining: 284s    
step 00059 (5.2%) | loss: 4.530385 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,042 | mfu: 38.9% | epoch: 1 | remaining: 284s    
step 00060 (5.4%) | loss: 4.505549 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,908 | mfu: 38.6% | epoch: 1 | remaining: 284s    
step 00061 (5.5%) | loss: 4.477546 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,929 | mfu: 38.7% | epoch: 1 | remaining: 283s    
step 00062 (5.6%) | loss: 4.456702 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,807 | mfu: 38.8% | epoch: 1 | remaining: 283s    
step 00063 (5.7%) | loss: 4.431083 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,353 | mfu: 38.7% | epoch: 1 | remaining: 283s    
step 00064 (5.8%) | loss: 4.405646 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,470 | mfu: 38.7% | epoch: 1 | remaining: 282s    
step 00065 (5.9%) | loss: 4.376079 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,957 | mfu: 38.7% | epoch: 1 | remaining: 282s    
step 00066 (6.0%) | loss: 4.351266 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,149 | mfu: 39.3% | epoch: 1 | remaining: 282s    
step 00067 (6.1%) | loss: 4.328661 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,939 | mfu: 38.8% | epoch: 1 | remaining: 281s    
step 00068 (6.2%) | loss: 4.309797 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,304 | mfu: 38.6% | epoch: 1 | remaining: 281s    
step 00069 (6.3%) | loss: 4.289728 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,140 | mfu: 38.5% | epoch: 1 | remaining: 281s    
step 00070 (6.4%) | loss: 4.269333 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,139 | mfu: 38.7% | epoch: 1 | remaining: 280s    
step 00071 (6.5%) | loss: 4.252624 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,804 | mfu: 38.8% | epoch: 1 | remaining: 280s    
step 00072 (6.7%) | loss: 4.228930 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,393 | mfu: 38.8% | epoch: 1 | remaining: 280s    
step 00073 (6.8%) | loss: 4.203560 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,264 | mfu: 38.7% | epoch: 1 | remaining: 279s    
step 00074 (6.9%) | loss: 4.179292 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,825 | mfu: 38.4% | epoch: 1 | remaining: 279s    
step 00075 (7.0%) | loss: 4.160481 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,865 | mfu: 38.8% | epoch: 1 | remaining: 279s    
step 00076 (7.1%) | loss: 4.140862 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,005 | mfu: 38.7% | epoch: 1 | remaining: 278s    
step 00077 (7.2%) | loss: 4.124483 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,144 | mfu: 38.7% | epoch: 1 | remaining: 278s    
step 00078 (7.3%) | loss: 4.100425 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,179 | mfu: 38.9% | epoch: 1 | remaining: 278s    
step 00079 (7.4%) | loss: 4.080634 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,153 | mfu: 38.7% | epoch: 1 | remaining: 277s    
step 00080 (7.5%) | loss: 4.059496 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,103 | mfu: 38.6% | epoch: 1 | remaining: 277s    
step 00081 (7.6%) | loss: 4.039193 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,170 | mfu: 38.8% | epoch: 1 | remaining: 277s    
step 00082 (7.7%) | loss: 4.020182 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,850 | mfu: 38.8% | epoch: 1 | remaining: 276s    
step 00083 (7.9%) | loss: 4.002275 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,925 | mfu: 38.5% | epoch: 1 | remaining: 276s    
step 00084 (8.0%) | loss: 3.985940 | lrm: 1.00 | dt: 328ms | tok/sec: 1,600,266 | mfu: 38.7% | epoch: 1 | remaining: 276s    
step 00085 (8.1%) | loss: 3.974225 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,901 | mfu: 39.1% | epoch: 1 | remaining: 275s    
step 00086 (8.2%) | loss: 3.958240 | lrm: 1.00 | dt: 328ms | tok/sec: 1,596,169 | mfu: 38.6% | epoch: 1 | remaining: 275s    
step 00087 (8.3%) | loss: 3.941839 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,457 | mfu: 38.5% | epoch: 1 | remaining: 275s    
step 00088 (8.4%) | loss: 3.921648 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,429 | mfu: 38.9% | epoch: 1 | remaining: 274s    
step 00089 (8.5%) | loss: 3.902174 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,892 | mfu: 38.8% | epoch: 1 | remaining: 274s    
step 00090 (8.6%) | loss: 3.888565 | lrm: 1.00 | dt: 325ms | tok/sec: 1,610,771 | mfu: 38.9% | epoch: 1 | remaining: 274s    
step 00091 (8.7%) | loss: 3.872451 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,428 | mfu: 38.5% | epoch: 1 | remaining: 273s    
step 00092 (8.8%) | loss: 3.857238 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,165 | mfu: 38.7% | epoch: 1 | remaining: 273s    
step 00093 (8.9%) | loss: 3.847312 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,344 | mfu: 38.7% | epoch: 1 | remaining: 273s    
step 00094 (9.1%) | loss: 3.833572 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,626 | mfu: 38.5% | epoch: 1 | remaining: 272s    
step 00095 (9.2%) | loss: 3.823163 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,692 | mfu: 38.9% | epoch: 1 | remaining: 272s    
step 00096 (9.3%) | loss: 3.815532 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,824 | mfu: 39.1% | epoch: 1 | remaining: 272s    
step 00097 (9.4%) | loss: 3.801696 | lrm: 1.00 | dt: 325ms | tok/sec: 1,610,939 | mfu: 38.9% | epoch: 1 | remaining: 272s    
step 00098 (9.5%) | loss: 3.793601 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,218 | mfu: 38.5% | epoch: 1 | remaining: 271s    
step 00099 (9.6%) | loss: 3.781827 | lrm: 1.00 | dt: 328ms | tok/sec: 1,600,591 | mfu: 38.7% | epoch: 1 | remaining: 271s    
step 00100 (9.7%) | loss: 3.772376 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,763 | mfu: 38.5% | epoch: 1 | remaining: 271s    
step 00101 (9.8%) | loss: 3.756256 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,886 | mfu: 38.6% | epoch: 1 | remaining: 270s    
step 00102 (9.9%) | loss: 3.744240 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,390 | mfu: 38.9% | epoch: 1 | remaining: 270s    
step 00103 (10.0%) | loss: 3.734931 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,306 | mfu: 38.8% | epoch: 1 | remaining: 270s    
step 00104 (10.1%) | loss: 3.717448 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,270 | mfu: 38.8% | epoch: 1 | remaining: 269s    
step 00105 (10.3%) | loss: 3.708686 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,501 | mfu: 38.6% | epoch: 1 | remaining: 269s    
step 00106 (10.4%) | loss: 3.700454 | lrm: 1.00 | dt: 326ms | tok/sec: 1,605,809 | mfu: 38.8% | epoch: 1 | remaining: 269s    
step 00107 (10.5%) | loss: 3.688561 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,302 | mfu: 39.0% | epoch: 1 | remaining: 268s    
step 00108 (10.6%) | loss: 3.682181 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,561 | mfu: 38.9% | epoch: 1 | remaining: 268s    
step 00109 (10.7%) | loss: 3.669098 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,808 | mfu: 38.7% | epoch: 1 | remaining: 268s    
step 00110 (10.8%) | loss: 3.662283 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,086 | mfu: 38.9% | epoch: 1 | remaining: 267s    
step 00111 (10.9%) | loss: 3.656655 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,942 | mfu: 38.8% | epoch: 1 | remaining: 267s    
step 00112 (11.0%) | loss: 3.650188 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,626 | mfu: 38.8% | epoch: 1 | remaining: 267s    
step 00113 (11.1%) | loss: 3.640513 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,679 | mfu: 38.8% | epoch: 1 | remaining: 266s    
step 00114 (11.2%) | loss: 3.629398 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,130 | mfu: 39.0% | epoch: 1 | remaining: 266s    
step 00115 (11.3%) | loss: 3.625709 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,780 | mfu: 38.7% | epoch: 1 | remaining: 266s    
step 00116 (11.5%) | loss: 3.619850 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,669 | mfu: 39.0% | epoch: 1 | remaining: 265s    
step 00117 (11.6%) | loss: 3.618042 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,657 | mfu: 38.9% | epoch: 1 | remaining: 265s    
step 00118 (11.7%) | loss: 3.614393 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,760 | mfu: 38.7% | epoch: 1 | remaining: 265s    
step 00119 (11.8%) | loss: 3.605541 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,186 | mfu: 38.7% | epoch: 1 | remaining: 264s    
step 00120 (11.9%) | loss: 3.601507 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,484 | mfu: 38.9% | epoch: 1 | remaining: 264s    
step 00121 (12.0%) | loss: 3.592852 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,288 | mfu: 38.7% | epoch: 1 | remaining: 264s    
step 00122 (12.1%) | loss: 3.582629 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,947 | mfu: 38.7% | epoch: 1 | remaining: 263s    
step 00123 (12.2%) | loss: 3.578198 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,115 | mfu: 38.5% | epoch: 1 | remaining: 263s    
step 00124 (12.3%) | loss: 3.576003 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,802 | mfu: 38.7% | epoch: 1 | remaining: 263s    
step 00125 (12.4%) | loss: 3.571851 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,182 | mfu: 38.9% | epoch: 1 | remaining: 262s    
step 00126 (12.5%) | loss: 3.566737 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,478 | mfu: 38.5% | epoch: 1 | remaining: 262s    
step 00127 (12.7%) | loss: 3.565666 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,706 | mfu: 39.0% | epoch: 1 | remaining: 262s    
step 00128 (12.8%) | loss: 3.557489 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,836 | mfu: 39.1% | epoch: 1 | remaining: 261s    
step 00129 (12.9%) | loss: 3.549501 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,577 | mfu: 39.0% | epoch: 1 | remaining: 261s    
step 00130 (13.0%) | loss: 3.544701 | lrm: 1.00 | dt: 328ms | tok/sec: 1,596,432 | mfu: 38.6% | epoch: 1 | remaining: 261s    
step 00131 (13.1%) | loss: 3.539215 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,483 | mfu: 38.6% | epoch: 1 | remaining: 260s    
step 00132 (13.2%) | loss: 3.535138 | lrm: 1.00 | dt: 330ms | tok/sec: 1,586,664 | mfu: 38.3% | epoch: 1 | remaining: 260s    
step 00133 (13.3%) | loss: 3.529039 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,669 | mfu: 39.1% | epoch: 1 | remaining: 260s    
step 00134 (13.4%) | loss: 3.523289 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,341 | mfu: 39.1% | epoch: 1 | remaining: 259s    
step 00135 (13.5%) | loss: 3.520169 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,777 | mfu: 38.4% | epoch: 1 | remaining: 259s    
step 00136 (13.6%) | loss: 3.512447 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,912 | mfu: 38.6% | epoch: 1 | remaining: 259s    
step 00137 (13.7%) | loss: 3.508874 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,598 | mfu: 38.9% | epoch: 1 | remaining: 258s    
step 00138 (13.9%) | loss: 3.499372 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,173 | mfu: 38.5% | epoch: 1 | remaining: 258s    
step 00139 (14.0%) | loss: 3.490630 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,611 | mfu: 39.1% | epoch: 1 | remaining: 258s    
step 00140 (14.1%) | loss: 3.485026 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,476 | mfu: 38.8% | epoch: 1 | remaining: 257s    
step 00141 (14.2%) | loss: 3.480286 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,462 | mfu: 38.5% | epoch: 1 | remaining: 257s    
step 00142 (14.3%) | loss: 3.478315 | lrm: 1.00 | dt: 328ms | tok/sec: 1,596,795 | mfu: 38.6% | epoch: 1 | remaining: 257s    
step 00143 (14.4%) | loss: 3.476232 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,442 | mfu: 38.6% | epoch: 1 | remaining: 256s    
step 00144 (14.5%) | loss: 3.470246 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,561 | mfu: 38.5% | epoch: 1 | remaining: 256s    
step 00145 (14.6%) | loss: 3.467424 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,236 | mfu: 38.7% | epoch: 1 | remaining: 256s    
step 00146 (14.7%) | loss: 3.466225 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,424 | mfu: 38.8% | epoch: 1 | remaining: 256s    
step 00147 (14.8%) | loss: 3.466415 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,681 | mfu: 38.7% | epoch: 1 | remaining: 255s    
step 00148 (14.9%) | loss: 3.466557 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,236 | mfu: 38.8% | epoch: 1 | remaining: 255s    
step 00149 (15.1%) | loss: 3.463468 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,947 | mfu: 38.8% | epoch: 1 | remaining: 255s    
step 00150 (15.2%) | loss: 3.455807 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,114 | mfu: 38.8% | epoch: 1 | remaining: 254s    
