"module": executable file not found in $PATH
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 62959ms | tok/sec: 8,327 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854702 | lrm: 1.00 | dt: 313ms | tok/sec: 1,673,526 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442317 | lrm: 1.00 | dt: 688ms | tok/sec: 762,362 | mfu: 18.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971718 | lrm: 1.00 | dt: 315ms | tok/sec: 1,661,876 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578769 | lrm: 1.00 | dt: 314ms | tok/sec: 1,668,616 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248852 | lrm: 1.00 | dt: 342ms | tok/sec: 1,531,715 | mfu: 37.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998088 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,402 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787080 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,905 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.606990 | lrm: 1.00 | dt: 339ms | tok/sec: 1,545,413 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455149 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,062 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325379 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,652 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217077 | lrm: 1.00 | dt: 335ms | tok/sec: 1,564,765 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120708 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,816 | mfu: 38.8% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034852 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,304 | mfu: 39.4% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.962735 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,629 | mfu: 38.5% | epoch: 1 | remaining: 299s    
step 00033 (2.4%) | loss: 5.234243 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,399 | mfu: 39.0% | epoch: 1 | remaining: 292s    
step 00034 (2.5%) | loss: 5.202879 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,564 | mfu: 39.0% | epoch: 1 | remaining: 292s    
step 00035 (2.6%) | loss: 5.176729 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,311 | mfu: 38.7% | epoch: 1 | remaining: 292s    
step 00036 (2.7%) | loss: 5.150494 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,491 | mfu: 38.8% | epoch: 1 | remaining: 292s    
step 00037 (2.8%) | loss: 5.123718 | lrm: 1.00 | dt: 323ms | tok/sec: 1,620,710 | mfu: 39.2% | epoch: 1 | remaining: 291s    
step 00038 (2.9%) | loss: 5.096391 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,504 | mfu: 38.9% | epoch: 1 | remaining: 291s    
step 00039 (3.0%) | loss: 5.069870 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,978 | mfu: 38.6% | epoch: 1 | remaining: 291s    
step 00040 (3.2%) | loss: 5.040678 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,285 | mfu: 39.4% | epoch: 1 | remaining: 290s    
step 00041 (3.3%) | loss: 5.013440 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,264 | mfu: 39.0% | epoch: 1 | remaining: 290s    
step 00042 (3.4%) | loss: 4.987707 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,299 | mfu: 38.5% | epoch: 1 | remaining: 290s    
step 00043 (3.5%) | loss: 4.960056 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,974 | mfu: 38.9% | epoch: 1 | remaining: 289s    
step 00044 (3.6%) | loss: 4.931765 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,552 | mfu: 39.2% | epoch: 1 | remaining: 289s    
step 00045 (3.7%) | loss: 4.904003 | lrm: 1.00 | dt: 326ms | tok/sec: 1,605,867 | mfu: 38.8% | epoch: 1 | remaining: 289s    
step 00046 (3.8%) | loss: 4.876289 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,462 | mfu: 38.9% | epoch: 1 | remaining: 288s    
step 00047 (3.9%) | loss: 4.841082 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,151 | mfu: 38.9% | epoch: 1 | remaining: 288s    
step 00048 (4.0%) | loss: 4.819158 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,880 | mfu: 38.8% | epoch: 1 | remaining: 288s    
step 00049 (4.1%) | loss: 4.791386 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,383 | mfu: 38.6% | epoch: 1 | remaining: 287s    
step 00050 (4.2%) | loss: 4.762846 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,331 | mfu: 39.0% | epoch: 1 | remaining: 287s    
step 00051 (4.3%) | loss: 4.738587 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,436 | mfu: 38.7% | epoch: 1 | remaining: 287s    
step 00052 (4.5%) | loss: 4.711446 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,578 | mfu: 39.0% | epoch: 1 | remaining: 286s    
step 00053 (4.6%) | loss: 4.686615 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,043 | mfu: 39.0% | epoch: 1 | remaining: 286s    
step 00054 (4.7%) | loss: 4.660289 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,957 | mfu: 39.1% | epoch: 1 | remaining: 286s    
step 00055 (4.8%) | loss: 4.633480 | lrm: 1.00 | dt: 328ms | tok/sec: 1,600,659 | mfu: 38.7% | epoch: 1 | remaining: 285s    
step 00056 (4.9%) | loss: 4.610648 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,992 | mfu: 39.0% | epoch: 1 | remaining: 285s    
step 00057 (5.0%) | loss: 4.585285 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,206 | mfu: 39.2% | epoch: 1 | remaining: 285s    
step 00058 (5.1%) | loss: 4.554081 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,091 | mfu: 39.1% | epoch: 1 | remaining: 284s    
step 00059 (5.2%) | loss: 4.530415 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,086 | mfu: 38.8% | epoch: 1 | remaining: 284s    
step 00060 (5.3%) | loss: 4.505120 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,259 | mfu: 38.8% | epoch: 1 | remaining: 284s    
step 00061 (5.4%) | loss: 4.477102 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,893 | mfu: 39.1% | epoch: 1 | remaining: 283s    
step 00062 (5.5%) | loss: 4.454566 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,721 | mfu: 39.0% | epoch: 1 | remaining: 283s    
step 00063 (5.6%) | loss: 4.430518 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,626 | mfu: 38.7% | epoch: 1 | remaining: 283s    
step 00064 (5.8%) | loss: 4.407433 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,527 | mfu: 38.9% | epoch: 1 | remaining: 282s    
step 00065 (5.9%) | loss: 4.377804 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,706 | mfu: 39.2% | epoch: 1 | remaining: 282s    
step 00066 (6.0%) | loss: 4.353013 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,322 | mfu: 39.1% | epoch: 1 | remaining: 282s    
step 00067 (6.1%) | loss: 4.331355 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,410 | mfu: 38.8% | epoch: 1 | remaining: 281s    
step 00068 (6.2%) | loss: 4.312283 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,320 | mfu: 39.2% | epoch: 1 | remaining: 281s    
step 00069 (6.3%) | loss: 4.290929 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,417 | mfu: 38.9% | epoch: 1 | remaining: 281s    
step 00070 (6.4%) | loss: 4.269136 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,766 | mfu: 38.9% | epoch: 1 | remaining: 280s    
step 00071 (6.5%) | loss: 4.252396 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,671 | mfu: 39.0% | epoch: 1 | remaining: 280s    
step 00072 (6.6%) | loss: 4.228233 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,970 | mfu: 38.9% | epoch: 1 | remaining: 280s    
step 00073 (6.7%) | loss: 4.201493 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,915 | mfu: 38.8% | epoch: 1 | remaining: 279s    
step 00074 (6.8%) | loss: 4.177817 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,814 | mfu: 38.8% | epoch: 1 | remaining: 279s    
step 00075 (7.0%) | loss: 4.158733 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,008 | mfu: 38.9% | epoch: 1 | remaining: 279s    
step 00076 (7.1%) | loss: 4.138846 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,621 | mfu: 38.9% | epoch: 1 | remaining: 278s    
step 00077 (7.2%) | loss: 4.121922 | lrm: 1.00 | dt: 321ms | tok/sec: 1,630,864 | mfu: 39.4% | epoch: 1 | remaining: 278s    
step 00078 (7.3%) | loss: 4.098618 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,369 | mfu: 38.8% | epoch: 1 | remaining: 278s    
step 00079 (7.4%) | loss: 4.080288 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,193 | mfu: 38.8% | epoch: 1 | remaining: 278s    
step 00080 (7.5%) | loss: 4.062289 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,428 | mfu: 39.2% | epoch: 1 | remaining: 277s    
step 00081 (7.6%) | loss: 4.042610 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,084 | mfu: 39.2% | epoch: 1 | remaining: 277s    
step 00082 (7.7%) | loss: 4.024122 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,980 | mfu: 38.7% | epoch: 1 | remaining: 277s    
step 00083 (7.8%) | loss: 4.004766 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,162 | mfu: 39.2% | epoch: 1 | remaining: 276s    
step 00084 (7.9%) | loss: 3.987818 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,739 | mfu: 39.1% | epoch: 1 | remaining: 276s    
step 00085 (8.0%) | loss: 3.974783 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,545 | mfu: 39.0% | epoch: 1 | remaining: 276s    
step 00086 (8.1%) | loss: 3.958376 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,869 | mfu: 38.8% | epoch: 1 | remaining: 275s    
step 00087 (8.3%) | loss: 3.942845 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,115 | mfu: 39.1% | epoch: 1 | remaining: 275s    
step 00088 (8.4%) | loss: 3.923361 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,568 | mfu: 38.8% | epoch: 1 | remaining: 275s    
step 00089 (8.5%) | loss: 3.903610 | lrm: 1.00 | dt: 324ms | tok/sec: 1,615,727 | mfu: 39.0% | epoch: 1 | remaining: 274s    
step 00090 (8.6%) | loss: 3.890021 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,552 | mfu: 38.7% | epoch: 1 | remaining: 274s    
step 00091 (8.7%) | loss: 3.875738 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,062 | mfu: 38.9% | epoch: 1 | remaining: 274s    
step 00092 (8.8%) | loss: 3.860951 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,614 | mfu: 39.0% | epoch: 1 | remaining: 273s    
step 00093 (8.9%) | loss: 3.849815 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,585 | mfu: 38.7% | epoch: 1 | remaining: 273s    
step 00094 (9.0%) | loss: 3.836447 | lrm: 1.00 | dt: 557ms | tok/sec: 940,794 | mfu: 22.7% | epoch: 1 | remaining: 272s    
step 00095 (9.2%) | loss: 3.825755 | lrm: 1.00 | dt: 314ms | tok/sec: 1,671,502 | mfu: 40.4% | epoch: 1 | remaining: 272s    
step 00096 (9.3%) | loss: 3.817600 | lrm: 1.00 | dt: 315ms | tok/sec: 1,662,242 | mfu: 40.2% | epoch: 1 | remaining: 272s    
step 00097 (9.4%) | loss: 3.803671 | lrm: 1.00 | dt: 334ms | tok/sec: 1,567,494 | mfu: 37.9% | epoch: 1 | remaining: 271s    
step 00098 (9.5%) | loss: 3.796941 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,368 | mfu: 38.8% | epoch: 1 | remaining: 271s    
step 00099 (9.6%) | loss: 3.784996 | lrm: 1.00 | dt: 315ms | tok/sec: 1,663,378 | mfu: 40.2% | epoch: 1 | remaining: 271s    
step 00100 (9.7%) | loss: 3.773842 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,001 | mfu: 38.8% | epoch: 1 | remaining: 270s    
step 00101 (9.8%) | loss: 3.758351 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,959 | mfu: 38.7% | epoch: 1 | remaining: 270s    
step 00102 (9.9%) | loss: 3.746812 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,103 | mfu: 39.4% | epoch: 1 | remaining: 270s    
step 00103 (10.1%) | loss: 3.737933 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,822 | mfu: 38.7% | epoch: 1 | remaining: 270s    
step 00104 (10.2%) | loss: 3.720873 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,331 | mfu: 38.4% | epoch: 1 | remaining: 269s    
step 00105 (10.3%) | loss: 3.712694 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,017 | mfu: 39.4% | epoch: 1 | remaining: 269s    
step 00106 (10.4%) | loss: 3.705239 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,425 | mfu: 38.7% | epoch: 1 | remaining: 269s    
step 00107 (10.5%) | loss: 3.693974 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,970 | mfu: 38.6% | epoch: 1 | remaining: 268s    
step 00108 (10.6%) | loss: 3.687393 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,258 | mfu: 39.0% | epoch: 1 | remaining: 268s    
step 00109 (10.7%) | loss: 3.673699 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,752 | mfu: 39.1% | epoch: 1 | remaining: 268s    
step 00110 (10.8%) | loss: 3.666546 | lrm: 1.00 | dt: 328ms | tok/sec: 1,600,773 | mfu: 38.7% | epoch: 1 | remaining: 267s    
step 00111 (10.9%) | loss: 3.660556 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,273 | mfu: 39.2% | epoch: 1 | remaining: 267s    
step 00112 (11.0%) | loss: 3.653774 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,203 | mfu: 39.4% | epoch: 1 | remaining: 267s    
step 00113 (11.1%) | loss: 3.644084 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,501 | mfu: 38.5% | epoch: 1 | remaining: 266s    
step 00114 (11.3%) | loss: 3.632228 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,324 | mfu: 39.2% | epoch: 1 | remaining: 266s    
step 00115 (11.4%) | loss: 3.628365 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,446 | mfu: 39.4% | epoch: 1 | remaining: 266s    
step 00116 (11.5%) | loss: 3.623049 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,640 | mfu: 39.1% | epoch: 1 | remaining: 265s    
step 00117 (11.6%) | loss: 3.620962 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,556 | mfu: 38.7% | epoch: 1 | remaining: 265s    
step 00118 (11.7%) | loss: 3.616550 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,280 | mfu: 39.0% | epoch: 1 | remaining: 265s    
step 00119 (11.8%) | loss: 3.608414 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,064 | mfu: 39.1% | epoch: 1 | remaining: 264s    
step 00120 (11.9%) | loss: 3.602662 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,652 | mfu: 39.0% | epoch: 1 | remaining: 264s    
step 00121 (12.0%) | loss: 3.594078 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,880 | mfu: 39.1% | epoch: 1 | remaining: 264s    
step 00122 (12.1%) | loss: 3.582285 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,654 | mfu: 38.9% | epoch: 1 | remaining: 263s    
step 00123 (12.2%) | loss: 3.576450 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,547 | mfu: 38.8% | epoch: 1 | remaining: 263s    
step 00124 (12.3%) | loss: 3.574806 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,015 | mfu: 39.0% | epoch: 1 | remaining: 263s    
step 00125 (12.4%) | loss: 3.571586 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,221 | mfu: 39.0% | epoch: 1 | remaining: 262s    
step 00126 (12.5%) | loss: 3.564416 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,479 | mfu: 38.6% | epoch: 1 | remaining: 262s    
step 00127 (12.7%) | loss: 3.561503 | lrm: 1.00 | dt: 321ms | tok/sec: 1,630,795 | mfu: 39.4% | epoch: 1 | remaining: 262s    
step 00128 (12.8%) | loss: 3.553553 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,784 | mfu: 39.2% | epoch: 1 | remaining: 261s    
step 00129 (12.9%) | loss: 3.546627 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,927 | mfu: 38.6% | epoch: 1 | remaining: 261s    
step 00130 (13.0%) | loss: 3.541554 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,568 | mfu: 38.8% | epoch: 1 | remaining: 261s    
step 00131 (13.1%) | loss: 3.535646 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,617 | mfu: 39.2% | epoch: 1 | remaining: 260s    
step 00132 (13.2%) | loss: 3.530390 | lrm: 1.00 | dt: 323ms | tok/sec: 1,620,702 | mfu: 39.2% | epoch: 1 | remaining: 260s    
step 00133 (13.3%) | loss: 3.525103 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,836 | mfu: 38.7% | epoch: 1 | remaining: 260s    
step 00134 (13.4%) | loss: 3.520041 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,043 | mfu: 38.8% | epoch: 1 | remaining: 259s    
step 00135 (13.5%) | loss: 3.518714 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,988 | mfu: 39.1% | epoch: 1 | remaining: 259s    
step 00136 (13.6%) | loss: 3.513067 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,501 | mfu: 39.0% | epoch: 1 | remaining: 259s    
step 00137 (13.7%) | loss: 3.510978 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,112 | mfu: 38.6% | epoch: 1 | remaining: 258s    
step 00138 (13.8%) | loss: 3.501888 | lrm: 1.00 | dt: 325ms | tok/sec: 1,613,821 | mfu: 39.0% | epoch: 1 | remaining: 258s    
step 00139 (14.0%) | loss: 3.493642 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,101 | mfu: 39.0% | epoch: 1 | remaining: 258s    
step 00140 (14.1%) | loss: 3.488337 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,713 | mfu: 38.9% | epoch: 1 | remaining: 257s    
step 00141 (14.2%) | loss: 3.482924 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,662 | mfu: 38.6% | epoch: 1 | remaining: 257s    
step 00142 (14.3%) | loss: 3.481702 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,673 | mfu: 38.9% | epoch: 1 | remaining: 257s    
step 00143 (14.4%) | loss: 3.478898 | lrm: 1.00 | dt: 324ms | tok/sec: 1,615,785 | mfu: 39.0% | epoch: 1 | remaining: 256s    
step 00144 (14.5%) | loss: 3.473395 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,233 | mfu: 38.8% | epoch: 1 | remaining: 256s    
step 00145 (14.6%) | loss: 3.471253 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,287 | mfu: 39.4% | epoch: 1 | remaining: 256s    
step 00146 (14.7%) | loss: 3.469979 | lrm: 1.00 | dt: 324ms | tok/sec: 1,615,733 | mfu: 39.0% | epoch: 1 | remaining: 256s    
step 00147 (14.8%) | loss: 3.469453 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,121 | mfu: 38.9% | epoch: 1 | remaining: 255s    
step 00148 (14.9%) | loss: 3.469301 | lrm: 1.00 | dt: 328ms | tok/sec: 1,600,648 | mfu: 38.7% | epoch: 1 | remaining: 255s    
step 00149 (15.0%) | loss: 3.466344 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,850 | mfu: 39.3% | epoch: 1 | remaining: 255s    
step 00150 (15.2%) | loss: 3.458508 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,032 | mfu: 39.6% | epoch: 1 | remaining: 254s    
